Norman,Guayabo,TamboDeMora,Boulkiemdé,Tunapuco,Matses
5198,40087,41521,15151,17222,8670
13936,15561,8602,11746,40457,8564
29436,23081,17914,29745,43172,909
10783,41476,4419,40597,6593,31902
41945,25093,17376,14758,20613,26793
6203,22388,13680,285,41096,31851
30825,43432,1352,41891,10239,5571
14827,40673,19434,22315,16579,6870
12281,42358,2503,43038,24536,7990
2114,23538,11300,28382,8003,28272
5464,29868,40489,6651,12110,7609
4722,8485,17258,8965,5162,12240
14415,6819,31727,13256,11859,44004
27560,18355,20395,22657,32385,40840
6543,30903,16114,44018,16586,33998
43474,1936,6532,4091,35461,19376
8994,22401,22177,14917,28359,42411
13873,30243,30503,9726,41521,7546
28657,29916,42178,923,8602,5803
24443,43429,42907,8670,17376,31046
41849,16853,43436,22379,13680,1001
17222,20312,39952,11931,1352,8754
40457,11746,17007,27635,19434,9488
6593,40597,43412,3948,10775,5323
20613,29745,36185,8564,2503,14057
43172,285,16295,14937,11300,40918
41096,41891,631,909,40489,24450
10239,31507,14716,8653,39313,14759
16579,43038,19789,25281,17258,6415
24536,14601,20436,26792,31727,40360
8003,44018,4422,44362,41819,12749
34916,8314,14096,5571,20395,14087
16540,4091,19676,6870,16114,5775
11859,9726,6247,7990,22177,43686
5162,12181,29326,28272,30503,32264
16586,923,42015,12240,42178,19090
35461,4822,41094,44004,42907,3258
35883,22379,42433,40840,6932,33967
28359,11931,930,42411,35305,8116
41521,8670,19500,7546,31885,10188
8602,3948,40571,17816,43436,12892
26396,8564,40087,5803,39952,42116
34384,14937,41476,8754,17007,13286
17914,8653,15561,17875,33638,43763
20157,9805,23081,9488,43412,1982
17376,909,33965,5323,12177,41963
10775,44362,25093,40918,631,31117
24632,16965,22388,14057,33209,10556
1352,26793,43432,40290,19789,26180
35376,5571,40673,6415,19676,43149
2503,6870,30903,41331,6247,4942
11300,31388,23538,40360,27864,11943
23656,28955,35295,20441,42015,22711
40489,28272,42358,5775,41094,7571
17258,7609,6819,43686,42433,33612
22177,13658,1936,19090,930,22290
6532,12240,18673,3258,19500,23225
20395,14501,8485,8116,40571,17944
16114,44004,35098,10188,40087,757
42178,7546,18355,2644,9513,40365
35305,5803,17636,20916,41476,23084
42907,30273,22401,23918,15561,10477
43436,13050,14389,12892,3468,44553
39952,1001,8341,42116,25093,7147
9019,31046,26259,4561,22388,20459
7988,24124,29916,1982,43432,40327
17007,17875,43429,21873,40673,4138
33638,9488,16853,43763,42358,33984
43412,5323,4948,28386,35295,5951
16295,40918,23762,41963,6819,43564
631,14057,20312,9782,8485,11474
14716,24450,31335,10556,35098,9739
4422,6415,37258,15484,18355,6379
19789,40360,19962,26180,1936,9037
31966,10436,40597,11943,22401,42265
20436,20441,14758,43149,30243,12737
14096,14087,285,14691,8341,17382
22996,5775,41891,4942,29916,12209
29326,43686,31507,22711,43429,5406
6247,19090,43038,7571,20312,17334
19500,3258,28382,22290,31924,29172
42433,8116,6651,23225,44131,43928
41094,14616,44018,10477,32039,3211
42015,10188,33522,40365,15151,4233
930,32727,8314,757,19962,17446
19676,24115,4091,44553,11746,28243
40571,20916,9726,41103,29745,13402
40087,42116,4822,40327,40597,9729
22744,4561,923,4138,14758,31169
23081,13286,8670,17625,285,26272
15561,43763,22379,28714,41891,10092
41476,29962,10101,5951,31507,11635
25093,30410,11931,43564,43038,5153
22388,41963,27635,11474,28382,4842
43432,9782,3948,22569,6651,3942
30903,10556,8564,18998,37840,13937
40673,15484,14937,9037,909,22015
23538,26180,28955,42265,44018,23626
35647,11943,8653,12737,33522,7211
22628,43149,9805,17382,8314,43413
42358,14691,909,14661,15777,22755
35295,4942,7990,12209,4091,41286
18673,22711,16965,43478,9726,43445
35098,7571,26793,11295,8653,18461
8485,17944,5571,5515,12181,5641
6819,7147,31851,29172,4822,41379
18355,757,31388,43928,923,43510
17636,23539,32851,3211,7990,42314
14389,23084,28272,4233,22379,29199
1936,13527,7609,28295,11931,29633
26408,40365,13658,9955,16965,2913
4115,10088,14501,17446,3948,42219
29916,44553,44004,28243,8670,807
43429,14798,12240,13402,8564,41311
16853,41103,37690,29444,25281,22658
4948,20459,37278,28895,20620,7588
25036,40327,40840,9729,9805,3196
23805,17625,19376,31169,6870,15713
44131,5951,42411,21682,31902,43399
31924,43564,34871,5153,44362,42860
34924,11474,17080,4842,13177,1656
40597,9739,17816,3942,26793,40176
11746,22569,7546,22015,5571,5852
29745,18998,13050,26272,31851,43329
285,9037,39449,43413,31388,7525
41891,17382,1001,22755,28955,1730
31507,30860,8754,41286,28272,12936
43038,14661,5323,43445,7609,20472
28955,32121,40918,5641,13658,14808
36278,11295,9488,41379,14501,43454
8653,31677,17875,29267,44004,41912
4822,14011,14057,26717,12240,44128
6651,5515,33126,43510,37690,27163
8965,23214,24450,42314,40840,2209
14601,29172,6415,29199,33998,18037
44018,28295,41331,29633,19376,7218
32301,43928,40360,2913,42411,17063
15777,3211,38953,42219,7546,43561
4091,4233,10436,16955,5803,30728
33522,25019,5775,807,1001,4250
14917,16720,14087,41311,8754,29891
12181,9955,43686,3196,5323,44265
9726,17446,36378,22658,9488,2158
14937,29444,19090,7588,17875,22294
923,13850,32264,3910,40918,15052
10101,7830,3258,5053,14057,41121
22379,28243,10188,40176,39467,23028
11931,9729,14616,43099,24450,1728
27635,10092,35533,43399,14759,40079
3948,5153,24115,42860,40360,10645
8670,4842,20916,1656,38953,33959
8564,3942,4561,7768,12749,1969
26792,26272,12892,5852,14087,11342
16965,13937,42116,43329,5775,30513
20620,16804,28386,7525,43686,6137
9805,43413,13286,1730,39320,6194
13177,22755,21873,12936,32264,15811
909,41286,43763,39794,3258,19465
26793,43445,29962,14808,39612,1082
31851,18461,36187,39712,14616,17861
5571,5641,30410,43454,10188,17137
6870,41379,41963,12229,23362,28581
7990,29267,9782,44128,20916,15525
32851,43510,10556,41912,23918,5467
28272,42314,28102,15162,12892,28676
7609,29199,14691,18037,42116,40701
13658,29633,4942,43561,4561,40437
14501,2913,22711,2209,13286,19897
44004,16955,7571,4250,21873,2371
40840,807,17944,29891,43763,41592
30273,41311,10477,27711,28386,5698
19376,10529,7147,22294,29962,4317
34871,22658,23225,44265,36187,43338
42411,7588,757,2158,41963,17130
17080,3196,19911,10343,31117,40623
