Norman,Guayabo,TamboDeMora,Boulkiemdé,Tunapuco,Matses
33731,39977,29146,2661,5327,1196
2334,6619,2652,20127,12861,1197
5135,2661,14143,13551,8499,1198
27038,20127,42709,14535,18784,1201
24025,13551,30768,4497,22697,1203
27075,14535,39977,41464,6087,1204
7885,4497,6619,29739,42537,1206
17988,41464,2661,19976,34608,1207
39367,29739,20127,8378,28728,1208
6912,19976,13551,12751,41217,1209
5327,8378,14535,4557,29146,1210
22707,12751,4497,14829,2652,1211
12861,4557,41464,16590,14143,1220
39171,14829,29739,17731,42709,1221
8499,16590,19976,8936,30768,1223
18784,17731,8378,20639,39977,1224
22697,8936,12751,3611,6619,1225
6087,20639,4557,20047,2661,1226
42537,3611,14829,17324,20127,1227
34608,20047,16590,26040,13551,1228
28728,17324,43571,2265,14535,1231
41217,26040,17731,41194,4497,1232
29146,2265,8936,22509,41464,1233
2652,41194,20639,29759,29739,1235
14143,22509,3611,13763,19976,1236
42709,29759,20047,39252,8378,1237
30768,13763,17324,28166,12751,1239
39977,39252,26040,36526,4557,1241
6619,28166,2265,15209,14829,1242
2661,36526,41194,42345,16590,1243
20127,15209,22509,12128,17731,1246
13551,42345,29759,9497,8936,1247
14535,12128,13763,30039,20639,1249
4497,9497,39252,41360,3611,1252
41464,30039,28166,15103,20047,1254
29739,41360,36526,12269,17324,1255
19976,15103,15209,22510,26040,1256
8378,12269,42345,7096,2265,1257
12751,22510,12128,24700,41194,1259
4557,7096,9497,13355,22509,1260
14829,24700,30039,32373,29759,1261
16590,13355,41360,15188,13763,1262
17731,32373,15103,9424,39252,1263
8936,15188,12269,18005,28166,1264
20639,9424,22510,31116,36526,1265
3611,18005,7096,2164,15209,1266
20047,2164,24700,17378,42345,1267
17324,17378,13355,25897,12128,1269
26040,25897,32373,3710,9497,1271
2265,3710,15188,28778,30039,1273
41194,28778,9424,264,41360,1275
22509,264,44142,14694,15103,1276
29759,14694,18005,4865,12269,1277
13763,8601,31116,8601,22510,1278
39252,18677,34826,18677,24700,1279
28166,11676,2164,11676,13355,1280
36526,7637,17378,7637,32373,1281
15209,7736,25897,7736,15188,1282
42345,41192,3710,41192,9424,1283
12128,15430,28778,15430,18005,1284
9497,35131,264,35131,2164,1285
30039,30773,14694,30773,17378,1287
41360,13583,8601,13583,25897,1288
15103,24385,18677,24385,3710,1289
39770,16703,11676,16703,28778,1290
40261,36681,7637,36681,264,1292
36060,26927,7736,26927,14694,1295
12269,15265,41192,15265,8601,1296
22510,17441,15430,17441,18677,1297
7096,4039,35131,4039,11676,1298
24700,35901,30773,35901,7637,1300
13355,21444,13583,21444,7736,1301
32373,20532,24385,20532,41192,1303
15188,8738,16703,8738,15430,1304
9424,22701,36681,22701,35131,1305
18005,9712,26927,9712,30773,1307
34826,32336,15265,32336,13583,1309
2164,35292,17441,35292,24385,1310
17378,4017,4039,4017,16703,1311
25897,22079,35901,22079,36681,1313
3710,36261,21444,36261,26927,1314
28778,21184,20532,898,41491,1315
264,898,9712,14886,15265,1316
14694,14886,8738,2682,17441,1317
8601,2682,22701,29010,4039,1318
18677,29010,32336,14644,35901,1320
11676,14644,35292,18179,21444,1322
7637,18179,4017,11671,20532,1324
7736,11671,22079,31376,8738,1327
41192,31376,36261,2118,22701,1329
15430,2118,21184,3954,9712,1331
35131,3954,898,3024,32336,1332
30773,3024,14886,42560,38794,1333
13583,42560,2682,36104,35292,1334
24385,36104,29010,30440,4017,1335
16703,30440,14644,25039,22079,1337
36681,25039,18179,7102,36261,1338
26927,7102,11671,9532,898,1339
41491,9532,31376,8391,14886,1342
15265,8391,2118,43354,2682,1343
17441,43354,3954,7912,29010,1345
4039,7912,3024,6922,14644,1346
35901,6922,42560,27358,18179,1348
21444,27358,36104,40468,11671,1350
20532,40468,30440,7489,31376,1352
8738,7489,25039,21266,2118,1353
22701,21266,7102,35560,3954,1354
9712,35560,9532,17500,3024,1355
32336,17500,8391,35104,42560,1357
35292,35104,43354,34785,36104,1358
4017,34785,7912,12340,30440,1359
22079,12340,27358,42374,25039,1363
36261,42374,40468,23348,7102,1364
21184,23348,7489,33743,9532,1365
898,40232,21266,5473,8391,1366
14886,40641,35560,40641,43354,1367
2682,10447,17500,10447,7912,1368
29010,41840,35104,41840,6922,1369
14644,37090,34785,40232,27358,1370
18179,5473,12340,37090,40468,1374
40897,19698,42374,19698,7489,1375
11671,25685,23348,25685,21266,1377
31376,35067,33743,35067,35560,1378
2118,25346,5473,25346,17500,1379
3954,17507,40641,35447,35104,1380
3024,34888,10447,17507,34785,1381
42560,14759,41840,34888,12340,1383
36104,19955,40232,30208,42374,1384
30440,19382,37090,19955,23348,1385
25039,20660,19698,19382,5473,1387
7102,6702,25685,20660,40641,1388
9532,30208,35067,6702,10447,1389
8391,19430,25346,14759,41840,1390
43354,4103,17507,4103,40232,1394
7912,23225,34888,19430,37090,1395
29415,21697,30208,23225,19698,1396
27358,6429,19955,21697,25685,1399
41241,14033,19382,6429,35067,1400
40468,23036,20660,14033,25346,1401
7489,32393,6702,23036,17507,1402
21266,29446,14759,32393,34888,1404
35560,15900,4103,15900,30208,1405
17500,37874,19430,37874,19955,1406
35104,15952,23225,15952,19382,1409
34785,13582,21697,13582,20660,1410
12340,31759,6429,31759,6702,1411
42374,29909,14033,29909,14759,1414
23348,365,23036,365,4103,1415
40232,14486,32393,14486,19430,1416
