Q_Exactive,Impact_MS,maXis,Our_samples
1749,15149,29684,9933
1757,15187,29703,9938
1762,15248,29758,9939
1765,15360,29768,9943
1766,15363,29844,10062
1778,15371,29879,10065
1782,15381,29907,10075
1785,15384,29918,10109
1789,15387,29957,10110
1795,15403,30170,10113
1797,15405,31795,10114
1807,15411,31816,10116
1808,15416,31835,10118
1812,15435,32914,10155
1819,15440,32917,10158
1820,15498,32924,10159
1821,15524,32981,10160
1839,15546,33059,10162
1844,15828,33538,10167
1845,15978,33540,10219
1847,16235,33586,10231
1848,16291,33749,10347
1856,16317,33772,10357
1861,16342,33875,10364
1873,16345,33878,10432
1874,16362,34209,10471
1879,16427,34240,10485
1881,16434,34402,10498
1882,16461,34481,10507
1887,16526,34499,10535
1891,16590,34586,10562
1895,16597,34626,10634
1896,16607,34653,10640
1900,16676,34699,10645
1902,16706,34702,10662
1903,16772,34726,10664
1907,16775,35200,10687
1908,16816,35202,10789
1909,16817,35203,10815
1914,16819,35204,10818
1918,16875,35228,10826
1932,16905,35314,10843
1936,16952,35514,10845
1939,17057,35517,10931
1940,17068,35570,10946
1950,17104,35600,10947
1951,17145,35614,10950
1953,17218,35756,10997
1955,17222,35782,10999
1962,17227,35791,11000
1968,17245,35794,11069
1973,17270,35812,11111
1974,17271,35858,11114
1976,17283,35905,11178
1978,17319,35927,11201
1979,17333,36289,11203
1987,17358,36417,11204
1988,17360,36510,11223
1993,17362,36530,11230
1997,17364,36546,11243
2004,17381,37965,11345
2005,17382,37974,11351
2008,17401,37976,11363
2009,17466,38251,11364
2010,17473,38722,11372
2011,17495,39113,11425
2013,17506,39157,11469
2017,17512,39163,11470
2028,17542,39169,11477
2029,17577,39188,11504
2064,17580,39212,11505
2111,17604,39527,11506
2112,17629,39617,11514
2115,17635,39636,11515
2120,17696,39637,11532
2121,17770,39654,11534
2122,17798,39868,11549
2126,17890,39910,11550
2128,17892,39927,11552
2129,17971,39983,11582
2131,17972,40042,11595
2132,17974,40077,11640
2148,17980,40276,11719
2151,18339,40306,11726
2155,18343,40313,11730
2156,18378,40349,11746
2157,18472,40867,11761
2169,18933,40880,11801
2170,18980,40889,11807
2179,18993,40916,11812
2187,18994,41059,11818
2194,18996,41080,11826
2198,19025,41129,11827
2201,19165,41139,11829
2206,19173,41703,11830
2213,19230,41879,11833
2215,19272,41915,11837
2217,19273,41992,11841
2230,19277,42025,11845
2231,19327,42030,11862
2237,19361,42076,11868
2240,19365,42091,11873
2250,19373,42214,11874
2253,19380,42323,11877
2258,19507,42336,11887
